frame,distance,p3_action_frame,p3_controller_c_stick_x,p3_controller_c_stick_y,p3_controller_l_shoulder,p3_controller_r_shoulder,p3_controller_main_stick_x,p3_controller_main_stick_y,p3_button_button_a,p3_button_button_b,p3_button_button_x,p3_button_button_y,p3_button_button_z,p3_button_button_l,p3_button_button_r,p3_button_button_start,p3_button_button_d_up,p3_button_button_d_down,p3_button_button_d_left,p3_button_button_d_right,p3_ecb_bottom_x,p3_ecb_bottom_y,p3_ecb_left_x,p3_ecb_left_y,p3_ecb_right_x,p3_ecb_right_y,p3_ecb_top_x,p3_ecb_top_y,p3_facing,p3_hitlag_left,p3_hitstun_frames_left,p3_iasa,p3_invulnerability_left,p3_invulnerable,p3_jumps_left,p3_moonwalkwarning,p3_nana,p3_off_stage,p3_on_ground,p3_percent,p3_position_x,p3_position_y,p3_shield_strength,p3_speed_air_x_self,p3_speed_ground_x_self,p3_speed_x_attack,p3_speed_y_self,p3_stock,p4_action_frame,p4_controller_c_stick_x,p4_controller_c_stick_y,p4_controller_l_shoulder,p4_controller_r_shoulder,p4_controller_main_stick_x,p4_controller_main_stick_y,p4_button_button_a,p4_button_button_b,p4_button_button_x,p4_button_button_y,p4_button_button_z,p4_button_button_l,p4_button_button_r,p4_button_button_start,p4_button_button_d_up,p4_button_button_d_down,p4_button_button_d_left,p4_button_button_d_right,p4_ecb_bottom_x,p4_ecb_bottom_y,p4_ecb_left_x,p4_ecb_left_y,p4_ecb_right_x,p4_ecb_right_y,p4_ecb_top_x,p4_ecb_top_y,p4_facing,p4_hitlag_left,p4_hitstun_frames_left,p4_iasa,p4_invulnerability_left,p4_invulnerable,p4_jumps_left,p4_moonwalkwarning,p4_nana,p4_off_stage,p4_on_ground,p4_percent,p4_position_x,p4_position_y,p4_shield_strength,p4_speed_air_x_self,p4_speed_ground_x_self,p4_speed_x_attack,p4_speed_y_self,p4_stock,proj0_frame,proj0_owner,proj0_position_x,proj0_position_y,proj0_speed_x,proj0_speed_y,proj1_frame,proj1_owner,proj1_position_x,proj1_position_y,proj1_speed_x,proj1_speed_y,stage,p3_action,p3_character,p4_action,p4_character
-123,94.00005194479948,-1,0.5,0.5,0.0,0.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,1,False,False,False,False,0,-46.599998474121094,37.20000076293945,60.0,0.0,0.0,0.0,0.0,4,-1,0.5,1.0,0.0,0.0,0.0062499940395355225,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,5,False,False,False,False,0,47.400001525878906,37.29999923706055,60.0,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,ENTRY,SHEIK,ENTRY,JIGGLYPUFF
-108,94.00002077792324,1,0.5,0.5,0.0,0.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,1,False,False,False,False,0,-46.599998474121094,37.23992919921875,60.0,0.0,0.0,0.0,0.0,4,-1,0.050000011920928955,0.7124999761581421,0.0,0.0,0.9750000238418579,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,5,False,False,False,False,0,47.400001525878906,37.29999923706055,60.0,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,ENTRY_START,SHEIK,ENTRY,JIGGLYPUFF
-93,94.00002597240332,11,0.5,0.5,0.0,0.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,1,False,False,False,False,0,-46.599998474121094,37.8388671875,60.0,0.0,0.0,0.0,0.0,4,11,0.5,0.5,0.3499999940395355,0.3499999940395355,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,5,False,False,False,False,0,47.400001525878906,37.76667022705078,60.0,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,ENTRY_START,SHEIK,ENTRY_START,JIGGLYPUFF
-78,94.0000103889622,-1,0.5,0.5,0.0,0.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,1,False,False,False,False,0,-46.599998474121094,38.357948303222656,60.0,0.0,0.0,0.0,0.0,4,11,0.5,0.5,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,5,False,False,False,False,0,47.400001525878906,38.40304183959961,60.0,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,ENTRY_END,SHEIK,ENTRY_START,JIGGLYPUFF
-63,94.00063891903874,-1,0.5,0.5,0.0,0.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,1,False,False,False,False,0,-46.599998474121094,37.759010314941406,60.0,0.0,0.0,0.0,0.0,4,-1,0.5,0.5,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,5,False,False,False,False,0,47.400001525878906,38.10607147216797,60.0,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,ENTRY_END,SHEIK,ENTRY_END,JIGGLYPUFF
-48,94.00184921718295,2,0.5,0.5,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,1,False,False,False,False,0,-46.599998474121094,36.87993240356445,60.0,0.0,0.0,0.0,-0.23999999463558197,4,-1,0.5,0.5,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,5,False,False,False,False,0,47.400001525878906,37.46969985961914,60.0,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,FALLING,SHEIK,ENTRY_END,JIGGLYPUFF
-33,98.58398327219538,4,0.5,0.5,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,2,False,False,False,True,0,-46.599998474121094,30.14219856262207,60.0,0.0,0.0,0.0,0.0,4,4,0.5,0.5,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,False,0,False,5,False,False,False,False,0,51.959251403808594,32.350425720214844,60.0,0.6768749952316284,0.0,0.0,-0.768000066280365,4,,,,,,,,,,,,,DREAMLAND,LANDING,SHEIK,FALLING,JIGGLYPUFF
-18,104.43370355158338,7,0.5,0.5,0.0,0.0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,2,False,False,False,True,0,-46.599998474121094,30.14219856262207,60.0,0.0,0.0,0.0,0.0,4,1,0.5,0.5,0.7142857313156128,0.7142857313156128,0.13749998807907104,0.16249999403953552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,5,False,False,False,False,0,57.82737350463867,31.292598724365234,60.0,-0.29374998807907104,0.0,0.0,1.0499999523162842,4,,,,,,,,,,,,,DREAMLAND,NEUTRAL_B_CHARGING,SHEIK,JUMPING_BACKWARD,JIGGLYPUFF
-3,94.65061162639151,4,0.5,0.5,0.0,0.0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,2,False,False,False,True,0,-46.599998474121094,30.14219856262207,60.0,0.0,0.0,0.0,0.0,4,5,0.5,0.5,0.0,0.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,6,False,False,False,True,0,48.05055618286133,30.242599487304688,60.0,0.651249885559082,0.651249885559082,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,NEUTRAL_B_CHARGING,SHEIK,DASHING,JIGGLYPUFF
12,92.08537775822501,1,0.5,0.5,0.0,0.0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,2,False,False,False,True,0,-46.599998474121094,30.14219856262207,60.0,0.0,0.0,0.0,0.0,4,4,0.5,0.5,1.0,1.0,0.13749998807907104,0.16249999403953552,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0,0,False,0,False,6,False,False,False,True,0,45.485328674316406,30.242599487304688,60.0,-1.8619840145111084,-1.8619840145111084,0.0,0.0,4,,,,,,,,,,,,,DREAMLAND,NEUTRAL_B_CHARGING,SHEIK,LANDING_SPECIAL,JIGGLYPUFF
